Ranking,Title,Year,Duration,Genre,Point,Vote_Count
1,1. The Shawshank Redemption,1994,2h 22m,R,9.3, (2.9M)
2,2. The Godfather,1972,2h 55m,R,9.2, (2M)
3,3. The Dark Knight,2008,2h 32m,PG-13,9.0, (2.9M)
4,4. The Godfather Part II,1974,3h 22m,R,9.0, (1.4M)
5,5. 12 Angry Men,1957,1h 36m,Approved,9.0, (879K)
6,6. Schindler's List,1993,3h 15m,R,9.0, (1.5M)
7,7. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0, (2M)
8,8. Pulp Fiction,1994,2h 34m,R,8.9, (2.2M)
9,9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9, (2M)
10,"10. The Good, the Bad and the Ugly",1966,2h 58m,R,8.8, (821K)
11,11. Forrest Gump,1994,2h 22m,PG-13,8.8, (2.3M)
12,12. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8, (1.8M)
13,13. Fight Club,1999,2h 19m,R,8.8, (2.4M)
14,14. Inception,2010,2h 28m,PG-13,8.8, (2.6M)
15,15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7, (1.4M)
16,16. The Matrix,1999,2h 16m,R,8.7, (2.1M)
17,17. Goodfellas,1990,2h 25m,R,8.7, (1.3M)
18,18. One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7, (1.1M)
19,19. Interstellar,2014,2h 49m,PG-13,8.7, (2.1M)
20,20. Se7en,1995,2h 7m,R,8.6, (1.8M)
21,21. It's a Wonderful Life,1946,2h 10m,PG,8.6, (504K)
22,22. Seven Samurai,1954,3h 27m,Not Rated,8.6, (371K)
23,23. The Silence of the Lambs,1991,1h 58m,R,8.6, (1.6M)
24,24. Saving Private Ryan,1998,2h 49m,R,8.6, (1.5M)
25,25. City of God,2002,2h 10m,R,8.6, (810K)
26,26. Life Is Beautiful,1997,1h 56m,PG-13,8.6, (751K)
27,27. The Green Mile,1999,3h 9m,R,8.6, (1.4M)
28,28. Terminator 2: Judgment Day,1991,2h 17m,R,8.6, (1.2M)
29,29. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6, (1.5M)
30,30. Back to the Future,1985,1h 56m,PG,8.5, (1.3M)
31,31. Spirited Away,2001,2h 5m,PG,8.6, (866K)
